Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,,,,
9/22/2020,0,11:28,10.47,10.15,73.76,11.41,141.87,138.7,,,,
,0.5,,10.43,10.16,73.77,11.48,142.08,138.8,,,,
,1,,10.41,10.14,73.67,11.46,141.93,140.2,,,,
,1.5,,10.38,10.02,73.77,11.4,140.97,145.4,,,,
,2,,10.36,9.74,73.9,11.27,139.4,167.2,,,,
,2.5,,10.35,9.5,73.82,11.15,137.7,175.4,,,,
,3,,10.35,9.58,73.87,11.08,137.3,175.6,,,,
,4,,10.31,9.67,72.87,10.89,134.48,167.4,,,,
,5,,10.27,9.8,75.15,10.57,130.98,156.4,,,,
,6,,10.16,9.72,71.31,8.28,98.81,140.5,,,,
,7,,9.97,9.69,70.51,5.83,71.37,121.8,,,,
,8,,9.8,9.72,70.42,5.19,62.46,107.9,,,,
,9,,9.71,9.64,70.65,4.9,59.84,105.6,,,,
,10,,7.42,8.36,70.66,0.27,2.81,-117.7,,,,
,11,,6.75,8.22,72.31,0.03,0.25,-170.8,,,,
,12,11:54,6.43,8.29,74.19,0.02,0.19,-197.2,,,,
,,,,,,,,,,,,
6/15/2021,0,11:00,9.66,7.32,51.49,6.69,75.67,191.6,,,,
,0.5,,9.51,7.16,51.59,6.21,75.1,191.7,,,,
,1,,9.5,7.09,51.47,6.19,74.83,192.4,,,,
,1.5,,9.42,7.06,51.29,6.19,74.64,199.8,,,,
,2,,9.48,6.71,51.33,6.18,74.61,217.3,,,,
,2.5,,9.39,6.52,51.19,6.19,74.57,219.7,,,,
,3,,9.34,6.6,50.97,6.2,74.65,216.3,,,,
,4,,9.22,6.67,50.7,6.21,74.59,214.9,,,,
,5,,9.11,6.67,50.71,6.22,74.53,214.3,,,,
,6,,7.46,6.7,49.9,5.76,65.83,212.8,,,,
,7,,6.5,6.76,49.76,5.48,61.44,209.2,,,,
,8,,5.96,6.85,51.11,5.03,54.43,202.6,,,,
,9,,5.37,6.92,52.07,4.46,48.73,201.6,,,,
,10,,4.98,6.81,52.34,4.08,44,205.1,,,,
,11,,4.82,6.76,52.7,3.96,42.64,207.6,,,,
,12,11:21,4.74,6.75,53.28,3.56,37.41,209.3,,,,
,,,,,,,,,,,,
7/20/2021,0,10:30,16.9,9.61,58.05,8.9,127.25,59.4,,,,
,0.5,,16.92,9.7,58,8.95,127.71,56.2,,,,
,1,,16.88,9.73,58,8.95,127.78,53.5,,,,
,1.5,,16.86,9.76,58.06,8.97,128.01,53,,,,
,2,,16.78,9.77,58.08,8.99,128.03,53.9,,,,
,2.5,,16.68,9.73,57.08,8.98,127.83,53.4,,,,
,3,,16.51,9.74,57.77,9,127.32,56.3,,,,
,4,,15.4,9.66,57.61,10.55,144.88,57.8,,,,
,5,,12.94,9.72,54.25,12.8,168.15,59.8,,,,
,6,,8.19,7.45,52.04,3.98,45.2,136,,,,
,7,,7.16,6.96,50.57,2.49,25.78,139.6,,,,
,8,,5.92,6.63,51.5,0.91,9.57,139.1,,,,
,9,,5.66,6.47,52.05,0.33,3.06,141.4,,,,
,10,,5.17,6.36,53.61,0.07,0.51,141.7,,,,
,11,,5.02,6.28,55.21,0.02,0.19,117.1,,,,
,12,10:54,4.9,6.25,55.89,0.02,0.17,105.3,,,,
,,,,,,,,,,,,
8/24/2021,0,10:20,12.75,9.68,59.04,8.3,109.02,-6.3,,,,
,0.5,,12.87,9.73,58.93,8.27,108.67,-5.6,,,,
,1,,12.81,9.71,58.92,8.26,108.5,-4.1,,,,
,1.5,,12.76,9.72,58.86,8.21,107.56,-0.6,,,,
,2,,12.69,9.69,58.79,8.14,106.8,2.4,,,,
,2.5,,12.66,9.71,58.85,8.08,105.86,7.4,,,,
,3,,12.65,9.68,58.78,8,104.11,9.4,,,,
,4,,12.37,9.58,58.39,7.45,96.83,15.8,,,,
,5,,12.3,9.58,58.14,7.44,97.16,18.2,,,,
,6,,11.73,9.3,57.32,6.92,89.07,21.5,,,,
,7,,11.07,8.32,55.69,4.34,51.97,36.4,,,,
,8,,9.06,7.63,53.5,0.47,2.36,47.5,,,,
,9,,7.45,6.8,54.27,0.04,0.44,36,,,,
,10,,6.92,6.54,55.18,0.02,0.3,-33.8,,,,
,11,,6.15,6.48,56.52,0.01,0.14,-85.4,,,,
,12,,5.71,6.4,57.83,0,0.02,-95.5,,,,
,,,,,,,,,,,,
9/21/2021,0,11:35,9.53,9.65,71.02,9.09,109.96,8.9,,,,
,0.5,,9.98,9.72,70.26,8.97,109.3,0.7,,,,
,1,,10,9.76,70.12,8.9,108.53,1,,,,
,1.5,,10.03,9.79,70.13,8.89,108.6,1,,,,
,2,,10.03,9.79,70.08,8.89,108.28,4.8,,,,
,2.5,,10.01,9.8,69.98,8.83,107.24,6,,,,
,3,,9.98,9.8,69.96,8.77,106.37,7.3,,,,
,4,,9.96,9.77,69.93,8.6,105.6,11.5,,,,
,5,,9.92,9.73,69.85,8.56,103.76,12.3,,,,
,6,,9.81,9.61,68.51,8.01,94.92,18.7,,,,
,7,,9.23,8.02,66.87,1.05,7.72,34.8,,,,
,8,,8.69,7.32,67.1,0.1,1.01,25.6,,,,
,9,,7.3,6.84,69.21,0.03,0.37,-54.2,,,,
,10,,6.6,6.64,70.55,0.02,0.28,-76.4,,,,
,11,,6.14,6.53,73.4,0.01,0.16,-84,,,,
,12,11:48,5.91,6.5,75.77,0.01,0.17,-85.9,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
